bootstrap_iteration,sample_size,silhouette_score,mean_kl_divergence
102,7962,0.027132174,0.02731845042559919
103,7962,0.042741567,0.026240978658707705
104,7962,0.028714774,0.02640631384382351
105,7962,0.031357262,0.026492433115629876
106,7962,0.023902956,0.026657753574534163
107,7962,0.036482316,0.02656823921550121
108,7962,0.03938494,0.02731900233064148
109,7962,0.030604256,0.02654806276500706
110,7962,0.03520633,0.02664855939678001
111,7962,0.044884983,0.026476281642665817
112,7962,0.05056157,0.0272701671538434
113,7962,0.05731788,0.026741764154207908
114,7962,0.047128376,0.026910650221074913
115,7962,0.044205062,0.02699353811252403
116,7962,0.048313946,0.027077875603496022
117,7962,0.049857702,0.02637595307351674
118,7962,0.039822202,0.026349956217584767
119,7962,0.041398656,0.026953404536467343
120,7962,0.028112274,0.0266514798569814
121,7962,0.036848623,0.026946253073297753
122,7962,0.028583407,0.026637762043708508
123,7962,0.047459103,0.027005235111613006
124,7962,0.037372835,0.026535171098035562
125,7962,0.036022633,0.026990722781411836
126,7962,0.044511646,0.02676588013198163
127,7962,0.030338082,0.026517344635338
128,7962,0.027723819,0.0269837613148303
129,7962,0.046862956,0.026826485588605398
130,7962,0.040285204,0.0262887255715439
131,7962,0.034035027,0.027154231634215584
132,7962,0.032767348,0.026733308998214817
133,7962,0.03677524,0.027002778177571296
134,7962,0.058361262,0.02695348687755349
135,7962,0.047910504,0.02664575502009389
136,7962,0.043051288,0.026740396376054014
137,7962,0.04848253,0.027418130240014004
138,7962,0.043270208,0.026665154706258836
139,7962,0.030177362,0.026816021922951596
140,7962,0.042925138,0.026313879058326828
141,7962,0.04731368,0.02643853365323971
142,7962,0.035995033,0.02729434752024538
143,7962,0.02385168,0.026649440071980137
144,7962,0.04037037,0.027042939435603118
145,7962,0.040631324,0.026704899193825838
146,7962,0.026794404,0.02724008145649678
147,7962,0.04712887,0.026654356990487082
148,7962,0.043156132,0.02674573945714139
149,7962,0.033767756,0.02656609511596926
150,7962,0.03286734,0.026725364051986025
151,7962,0.043854617,0.026291001465444653
152,7962,0.04249215,0.0268551756556457
153,7962,0.058650795,0.02713566972536597
154,7962,0.05039774,0.02694911537483963
155,7962,0.03566589,0.026923674577142544
156,7962,0.041827578,0.02693587517656166
157,7962,0.040813226,0.02781511694012607
158,7962,0.044419557,0.026982595887084054
159,7962,0.02930382,0.027103649988889433
160,7962,0.023639012,0.027022891096870477
161,7962,0.040806033,0.02677404349034534
162,7962,0.051138163,0.02713685397774715
163,7962,0.032802418,0.02704228318606182
164,7962,0.049306974,0.026836942189977852
165,7962,0.03617024,0.0262373384522632
166,7962,0.040338352,0.026893547846903537
167,7962,0.05096997,0.026937073655662638
168,7962,0.045588892,0.02631412894513311
169,7962,0.038929906,0.02646867652995811
170,7962,0.02460906,0.026533373458640326
171,7962,0.03528801,0.026472610148151856
172,7962,0.04509187,0.02723708049221874
173,7962,0.02395416,0.02689916995043141
174,7962,0.03467502,0.026436958243094274
175,7962,0.04752192,0.02681036434455318
176,7962,0.022292975,0.026348744251031873
177,7962,0.040121403,0.027158658993315984
178,7962,0.04298728,0.026969600320253268
179,7962,0.02537212,0.02647426012470704
180,7962,0.05356233,0.0268298912914265
181,7962,0.03426245,0.02686716455921266
182,7962,0.028126996,0.026557210974618953
183,7962,0.048518114,0.026675227992571937
184,7962,0.04631066,0.02757202830238863
185,7962,0.041097213,0.027175307680977968
186,7962,0.04715349,0.026474412018324286
187,7962,0.032333028,0.02695228682112443
188,7962,0.03850753,0.02653527548675141
189,7962,0.04734977,0.026945970339906068
190,7962,0.04898552,0.027009504001313012
191,7962,0.026577359,0.026662237747971183
192,7962,0.029538747,0.026638433874880844
193,7962,0.035925217,0.027080812492326644
194,7962,0.025357606,0.026968871346475555
195,7962,0.048538335,0.0264286052848267
196,7962,0.029811246,0.027167954512839373
197,7962,0.036856797,0.026737128205946818
198,7962,0.044225793,0.025835070210654513
199,7962,0.037685048,0.02685413883019407
200,7962,0.032770626,0.02667646707279857
