bootstrap_iteration,sample_size,silhouette_score,mean_kl_divergence
1,7962,0.36094722,1.5878163992387453
2,7962,0.3810961,1.5380632110961319
3,7962,0.37565318,1.567880444177266
4,7962,0.37181795,1.6098611949395614
5,7962,0.37604544,1.5644204491897962
6,7962,0.38525054,1.5550987837109091
7,7962,0.3740143,1.5575162407022316
8,7962,0.37518942,1.557333990862816
9,7962,0.38017958,1.5323165553704818
10,7962,0.36538312,1.598869885056262
11,7962,0.37548736,1.6076971079920612
12,7962,0.37014335,1.5800738326981854
13,7962,0.37642798,1.5546390127638061
14,7962,0.36979127,1.570255030455073
15,7962,0.37139797,1.5464896832008306
16,7962,0.3727637,1.5617127337137477
17,7962,0.36837998,1.5709191771321815
18,7962,0.37576368,1.5866001054809151
19,7962,0.38809836,1.5012974857262869
20,7962,0.37639812,1.5750931937821935
21,7962,0.3708332,1.5799392417859877
22,7962,0.38140485,1.5775927341108524
23,7962,0.36202872,1.5878839085158811
24,7962,0.36602736,1.6106176206830616
25,7962,0.36738786,1.592073259980645
26,7962,0.37557212,1.5797701458989588
27,7962,0.38058883,1.571053612170982
28,7962,0.37632838,1.5950594248733534
29,7962,0.3564475,1.6018173339250248
30,7962,0.36830324,1.5826721264302015
31,7962,0.36831155,1.5647731845697672
32,7962,0.3612797,1.5903719010895283
33,7962,0.35944068,1.6145673630797386
34,7962,0.3609205,1.6067082456613535
35,7962,0.35907298,1.607375684050895
36,7962,0.36515367,1.5655102460228534
37,7962,0.37353912,1.6013139982385354
38,7962,0.36431742,1.611055922832625
39,7962,0.37002343,1.589556442066841
40,7962,0.37617648,1.549692768250216
41,7962,0.37201953,1.581397365837243
42,7962,0.36613137,1.5638927414973938
43,7962,0.3687849,1.558245696312302
44,7962,0.3686133,1.5615193191849361
45,7962,0.3715272,1.5687661679786005
46,7962,0.37899408,1.586585314796876
47,7962,0.3683254,1.5995593208218573
48,7962,0.36417994,1.5951830777722351
49,7962,0.37087888,1.6035605315030281
50,7962,0.35839322,1.6044951276140587
51,7962,0.37999406,1.5581727666396323
52,7962,0.3708189,1.5301521918910885
53,7962,0.36966026,1.5360616865340602
54,7962,0.3834314,1.5197223269904951
55,7962,0.3603259,1.5806341559178902
56,7962,0.37391514,1.5898153893122478
57,7962,0.377404,1.594242630927228
58,7962,0.3796246,1.5892664479506418
59,7962,0.3854388,1.5620641980169274
60,7962,0.3643798,1.5703200001137565
61,7962,0.379547,1.5184921974856602
62,7962,0.35872576,1.6346527683737486
63,7962,0.37254342,1.548978442755095
64,7962,0.36836642,1.5987679405486985
65,7962,0.36250994,1.5723821562331821
66,7962,0.3753533,1.618738622882686
67,7962,0.368945,1.5743939185027325
68,7962,0.3737427,1.5388819717137248
69,7962,0.3858984,1.555370787351192
70,7962,0.3752227,1.619681006486977
71,7962,0.38188788,1.5266389860178955
72,7962,0.37330303,1.5438183696039653
73,7962,0.37088865,1.5772604509478294
74,7962,0.37241167,1.5832437719955104
75,7962,0.37428656,1.6240348033920817
76,7962,0.37051323,1.5745546810509203
77,7962,0.36501217,1.577480017073337
78,7962,0.3584648,1.6205291422395642
79,7962,0.36948204,1.5748552590774043
80,7962,0.37070665,1.6059557988874096
81,7962,0.37972245,1.5559622049576434
82,7962,0.3680089,1.6100772657133327
83,7962,0.3716459,1.6055323817612894
84,7962,0.3588837,1.6084089930741323
85,7962,0.36897266,1.5225224622603342
86,7962,0.369467,1.5659635775693745
87,7962,0.36685374,1.602790013695302
88,7962,0.36884466,1.5696549810323432
89,7962,0.36523226,1.5901997086527053
90,7962,0.3735976,1.5576110386701387
91,7962,0.36888447,1.5688301214465918
92,7962,0.3812997,1.5238778850962293
93,7962,0.37784243,1.6004042924718258
94,7962,0.37289003,1.5582079484829403
95,7962,0.36445692,1.5985818469742425
96,7962,0.36880177,1.5899983913441071
97,7962,0.37859336,1.5195762893180802
98,7962,0.37928316,1.5782163447525714
99,7962,0.36359528,1.5695514455113213
100,7962,0.36148378,1.5659680409526804
101,7962,0.37973613,1.5129441421514875
102,7962,0.3764671,1.5836522158022848
103,7962,0.37401637,1.5453917897521248
104,7962,0.3685748,1.551712059360478
105,7962,0.36241156,1.5366164798607942
106,7962,0.3700823,1.5829876939461085
107,7962,0.37228298,1.5451282268930715
108,7962,0.36923602,1.5699917062143385
109,7962,0.383177,1.5117469160631474
110,7962,0.35600486,1.5572753774138453
111,7962,0.37762117,1.539799503115391
112,7962,0.38061726,1.5467892290780085
113,7962,0.36613646,1.5633363777965528
114,7962,0.3703145,1.5760250070092288
115,7962,0.37013692,1.5340056440273688
116,7962,0.36244613,1.5821597995340437
117,7962,0.3744727,1.5552679816557922
