bootstrap_iteration,sample_size,silhouette_score,mean_kl_divergence
112,7962,0.11228578,0.11112539110482962
113,7962,0.11954813,0.11112549596551405
114,7962,0.106914505,0.11089568556707688
115,7962,0.10217316,0.11069930852123945
116,7962,0.10682074,0.11236839208832447
117,7962,0.10324476,0.11273449779801603
118,7962,0.12083868,0.1099052160758538
119,7962,0.10053117,0.11388565494840062
120,7962,0.09660879,0.11115673115806508
121,7962,0.11448739,0.11139708841549037
122,7962,0.092831165,0.11208513623072022
123,7962,0.11618955,0.11112459179774947
124,7962,0.11417799,0.11030229836061844
125,7962,0.08936567,0.11129911448589104
126,7962,0.10024518,0.1126295392710613
127,7962,0.1120629,0.11151027921480529
128,7962,0.08982322,0.10915721677840792
129,7962,0.09096285,0.11085428683664131
130,7962,0.09174433,0.11352512154577973
131,7962,0.10135391,0.11058237727095355
132,7962,0.10856683,0.11303798074717901
133,7962,0.10090487,0.11107221590360869
134,7962,0.10420785,0.11249868088136919
135,7962,0.12582856,0.11134574547141367
136,7962,0.110993974,0.11291051678934161
137,7962,0.098685026,0.1105052495748941
138,7962,0.100011505,0.11028575287650373
139,7962,0.11177297,0.11383700882622276
140,7962,0.107507825,0.11059227015590402
141,7962,0.10870757,0.11134542368009666
142,7962,0.10337565,0.11187953543774977
143,7962,0.10114605,0.11356911576779125
144,7962,0.10287808,0.11297604616675976
145,7962,0.11355202,0.11492186721559762
146,7962,0.08711859,0.11289268610459532
147,7962,0.10890694,0.11243265212005604
148,7962,0.109862775,0.11030526092712091
149,7962,0.1035538,0.11088048970850736
150,7962,0.10694219,0.11387543924602801
151,7962,0.117348224,0.11339408532054307
152,7962,0.113356955,0.11238112726507277
153,7962,0.10777763,0.11158822401588062
154,7962,0.10697605,0.11182686562673998
155,7962,0.10583291,0.11162190896051365
156,7962,0.10543767,0.11363365101552746
157,7962,0.10400904,0.1126624734689024
158,7962,0.10368333,0.11131232284983636
159,7962,0.101146296,0.11060628854403089
160,7962,0.096272446,0.1130948817874881
161,7962,0.10300713,0.11151045990897793
162,7962,0.10647301,0.1119013669503956
163,7962,0.10840084,0.11121880860015197
164,7962,0.10220461,0.11252175513971126
165,7962,0.10180089,0.11239263732745781
166,7962,0.09659245,0.1117082354776883
167,7962,0.11023332,0.1123301679938296
168,7962,0.115346216,0.11166639982331349
169,7962,0.11359176,0.11139432756260301
170,7962,0.1046381,0.1109716335769348
171,7962,0.09662763,0.11240087679805354
172,7962,0.08703128,0.11222002323411079
173,7962,0.09885978,0.11116953914493918
174,7962,0.10998278,0.11207844246793225
175,7962,0.10669253,0.11167433017262894
176,7962,0.10616355,0.11393873531364093
177,7962,0.09497796,0.11106652011716125
178,7962,0.098818414,0.11202962054685746
179,7962,0.1015851,0.11050453344570195
180,7962,0.103013024,0.11336429775870209
181,7962,0.10528814,0.11109337386334041
182,7962,0.1080836,0.11190082632090113
183,7962,0.11202626,0.11274440898084859
184,7962,0.09592131,0.11034078608158056
185,7962,0.10526913,0.1121347828335756
186,7962,0.10003077,0.11072082354444386
187,7962,0.09409599,0.11315936335965117
188,7962,0.09808453,0.11091903900785809
189,7962,0.107341945,0.11285023914240655
190,7962,0.113686375,0.1111765184729622
191,7962,0.10305809,0.10984220592021735
192,7962,0.09187077,0.11067241983298233
193,7962,0.10093593,0.11171040156010494
194,7962,0.09817246,0.11221664838837393
195,7962,0.10020734,0.11119544629892762
196,7962,0.1052366,0.11381444932243422
197,7962,0.10951687,0.1104848269585594
198,7962,0.111782014,0.11259252565270984
199,7962,0.09130844,0.11318743491146382
200,7962,0.10889528,0.11230128017953211
